Suburb,Rooms,Type,Price,Date,Distance,Postcode,Bedroom2,Bathroom,Car,BuildingArea,CouncilArea,Lattitude,Longtitude,Propertycount,Age,metropolitan,victoria,Missing_Price
Surrey Hills,3,h,1205000,2016-01-28,11.2,3127,3,1,2.0,126.0,Whitehorse,-37.8361,145.1006,5457,75.0,1,0,0
Surrey Hills,2,u,813000,2016-01-28,11.2,3127,2,1,2.0,126.0,Whitehorse,-37.8276,145.1023,5457,75.0,1,0,0
Mont Albert,2,u,750000,2016-02-04,11.8,3127,2,2,2.0,80.0,Whitehorse,-37.8161,145.1098,2079,22.0,1,0,0
Ormond,1,u,250000,2016-02-04,11.8,3204,1,1,1.0,36.0,Glen Eira,-37.9028,145.0475,3578,65.0,1,0,0
Port Melbourne,2,u,550000,2016-02-04,3.8,3207,2,1,1.0,57.0,Port Phillip,-37.8408,144.94,8648,13.0,1,0,0
West Footscray,3,h,1415000,2016-02-04,8.2,3012,3,1,6.0,126.0,Maribyrnong,-37.7958,144.8645,5058,70.0,1,0,0
Maribyrnong,3,t,560000,2016-02-04,8.7,3032,3,2,2.0,126.0,Maribyrnong,-37.7719,144.8815,4918,25.0,1,0,0
Essendon,3,h,911000,2016-02-04,8.0,3040,3,2,2.0,98.0,Moonee Valley,-37.7454,144.8987,9264,17.0,1,0,0
Maribyrnong,3,t,560000,2016-02-04,8.7,3032,3,2,2.0,115.0,Maribyrnong,-37.7746,144.8798,4918,21.0,1,0,0
Yarraville,2,h,890000,2016-02-04,7.0,3013,2,1,0.0,126.0,Maribyrnong,-37.8209,144.8913,6543,105.0,1,0,0
Coburg,3,h,675000,2016-02-04,7.8,3058,3,1,2.0,123.0,Moreland,-37.7382,144.97299999999996,11204,20.0,1,0,0
Bentleigh,3,h,1222500,2016-02-04,13.0,3204,3,2,2.0,181.0,Glen Eira,-37.9272,145.0406,6795,25.0,1,0,0
Thornbury,2,t,805000,2016-02-04,6.5,3071,2,1,2.0,95.0,Darebin,-37.7536,144.9825,8870,16.0,1,0,0
Burwood,3,h,1151000,2016-02-04,11.7,3125,3,1,1.0,126.0,Whitehorse,-37.8551,145.1121,5678,60.0,1,0,0
Burwood,3,h,1755000,2016-02-04,11.7,3125,3,1,1.0,145.0,Whitehorse,-37.854,145.1195,5678,55.0,1,0,0
Chadstone,4,h,890000,2016-02-04,13.6,3148,4,3,2.0,158.0,Monash,-37.8801,145.1051,3582,11.0,1,0,0
Elwood,3,t,1395000,2016-02-04,7.7,3184,3,2,1.0,126.0,Port Phillip,-37.8829,144.9797,8989,29.0,1,0,0
Surrey Hills,3,u,930000,2016-02-04,11.2,3127,3,2,2.0,126.0,Whitehorse,-37.8344,145.1114,5457,33.0,1,0,0
Footscray,1,u,216000,2016-02-04,6.4,3011,1,1,1.0,50.0,Maribyrnong,-37.7907,144.8924,7570,55.0,1,0,0
Fawkner,3,h,645000,2016-02-04,12.4,3060,3,1,4.0,126.0,Moreland,-37.7009,144.9776,5070,65.0,1,0,0
Altona,2,t,720000,2016-02-04,13.8,3018,2,1,2.0,125.0,Hobsons Bay,-37.8687,144.8197,5301,12.0,1,0,0
Moorabbin,3,h,1417250,2016-02-04,14.6,3189,3,2,2.0,180.0,Kingston,-37.9418,145.0549,2555,75.0,1,0,0
Maidstone,3,h,1200000,2016-02-04,9.2,3012,3,1,1.0,126.0,Maribyrnong,-37.7863,144.881,3873,20.5,1,0,0
Albion,2,h,765000,2016-02-04,13.9,3020,2,1,2.0,111.0,Brimbank,-37.7812,144.8121,2185,67.0,1,0,0
Maidstone,2,h,927000,2016-02-04,9.2,3012,2,1,4.0,139.0,Maribyrnong,-37.779,144.8832,3873,20.5,1,0,0
Oakleigh South,4,h,876000,2016-02-04,14.7,3167,4,2,1.0,126.0,Kingston,-37.9384,145.0878,3692,55.0,1,0,0
Abbotsford,2,h,1035000,2016-02-04,2.5,3067,2,1,0.0,79.0,Yarra,-37.8079,144.9934,4019,125.0,1,0,0
Richmond,3,h,1102000,2016-02-04,2.6,3121,3,2,0.0,126.0,Yarra,-37.8265,145.0022,14949,55.0,1,0,0
Brunswick,2,h,860000,2016-04-16,5.2,3056,3,1,2.0,126.0,Moreland,-37.7566,144.9599,11918,125.0,1,0,0
Prahran,3,h,1651000,2016-04-16,4.5,3181,3,1,2.0,126.0,Stonnington,-37.8558,145.0072,7717,95.0,1,0,0
Brunswick,2,h,936000,2016-04-16,5.2,3056,2,1,2.0,126.0,Moreland,-37.7581,144.9678,11918,99.0,1,0,0
Brunswick,3,h,1261000,2016-04-16,5.2,3056,2,1,1.0,100.0,Moreland,-37.7746,144.9697,11918,115.0,1,0,0
Brunswick,3,h,1045000,2016-04-16,5.2,3056,3,1,2.0,105.0,Moreland,-37.7642,144.969,11918,135.0,1,0,0
Brunswick,3,h,825000,2016-04-16,5.2,3056,3,1,1.0,130.0,Moreland,-37.7597,144.9545,11918,125.0,1,0,0
Kew,3,h,972500,2016-04-16,5.6,3101,3,2,2.0,126.0,Boroondara,-37.7925,145.0389,10331,55.0,1,0,0
Prahran,2,u,615000,2016-04-16,4.5,3181,2,1,1.0,126.0,Stonnington,-37.8529,145.0098,7717,95.0,1,0,0
Preston,3,h,930000,2016-04-16,8.8,3072,3,1,0.0,126.0,Darebin,-37.7386,144.9828,14577,75.0,1,0,0
Brighton,2,u,800000,2016-04-16,11.2,3186,2,1,1.0,126.0,Bayside,-37.9164,145.0002,10579,55.0,1,0,0
Preston,2,h,700000,2016-04-16,8.8,3072,2,1,1.0,85.0,Darebin,-37.7462,145.0044,14577,115.0,1,0,0
Kensington,2,t,812000,2016-04-16,4.2,3031,2,1,0.0,79.0,Melbourne,-37.7989,144.9275,5263,138.0,1,0,0
Kensington,5,h,1900000,2016-04-16,4.2,3031,5,2,2.0,270.0,Melbourne,-37.7893,144.933,5263,135.0,1,0,0
Toorak,3,h,1300000,2016-04-16,4.6,3142,3,1,1.0,126.0,Stonnington,-37.8493,145.0134,7217,55.0,1,0,0
Brighton East,3,t,940000,2016-04-16,10.7,3187,3,2,3.0,126.0,Bayside,-37.9089,145.0246,6938,21.0,1,0,0
Brighton East,3,h,1620000,2016-04-16,10.7,3187,3,2,4.0,126.0,Bayside,-37.9208,145.0126,6938,65.0,1,0,0
